id;name;suhu;kelembaban;cahaya;keran;date;;;;;;;
1235;syarif;27;95;0;67.05.00;20/07/20 10.27;;;;;;;
1236;syarif;27;95;0;67.05.00;20/07/20 10.27;;;;;;;
1237;syarif;27;95;0;67.05.00;20/07/20 10.27;;;;;;;
1238;syarif;27;95;0;67.05.00;20/07/20 10.27;;;;;;;
1239;syarif;27;95;0;67.05.00;20/07/20 10.28;;;;;;;
1240;syarif;27;95;0;67.05.00;20/07/20 10.28;;;;;;;
1241;syarif;27;95;0;67.05.00;20/07/20 10.28;;;;;;;
1242;syarif;27;95;0;67.05.00;20/07/20 10.28;;;;;;;
1243;syarif;27;95;0;67.05.00;20/07/20 10.28;;;;;;;
1244;syarif;27;95;0;67.05.00;20/07/20 10.28;;;;;;;
1245;syarif;27;95;0;67.05.00;20/07/20 10.28;;;;;;;
1246;syarif;27;95;0;67.05.00;20/07/20 10.28;;;;;;;
1247;syarif;27;95;0;67.05.00;20/07/20 10.29;;;;;;;
1248;syarif;27;95;0;67.05.00;20/07/20 10.29;;;;;;;
1249;syarif;27;95;0;67.05.00;20/07/20 10.29;;;;;;;
1250;syarif;27;95;0;67.05.00;20/07/20 10.29;;;;;;;
1251;syarif;27;95;0;67.05.00;20/07/20 10.29;;;;;;;
1252;syarif;27;95;0;67.05.00;20/07/20 10.29;;;;;;;
1253;syarif;27;95;0;67.05.00;20/07/20 10.29;;;;;;;
1254;syarif;27;95;0;67.05.00;20/07/20 10.30;;;;;;;
1255;syarif;27;95;0;67.05.00;20/07/20 10.30;;;;;;;
1256;syarif;27;95;0;67.05.00;20/07/20 10.30;;;;;;;
1257;syarif;27;95;0;67.05.00;20/07/20 10.30;;;;;;;
1258;syarif;27;95;0;67.05.00;20/07/20 10.30;;;;;;;
1259;syarif;27;95;0;67.05.00;20/07/20 10.30;;;;;;;
1260;syarif;27;95;0;67.05.00;20/07/20 10.30;;;;;;;
1261;syarif;27;95;0;67.05.00;20/07/20 10.31;;;;;;;
1262;syarif;27;95;0;67.05.00;20/07/20 10.31;;;;;;;
1263;syarif;27;95;0;67.05.00;20/07/20 10.31;;;;;;;
1264;syarif;27;95;0;67.05.00;20/07/20 10.31;;;;;;;
1265;syarif;27;95;0;67.05.00;20/07/20 10.31;;;;;;;
1266;syarif;27;95;0;67.05.00;20/07/20 10.31;;;;;;;
1267;syarif;27;95;0;67.05.00;20/07/20 10.31;;;;;;;
1268;syarif;27;95;0;67.05.00;20/07/20 10.32;;;;;;;
1269;syarif;27;95;0;67.05.00;20/07/20 10.32;;;;;;;
1270;syarif;27;95;0;67.05.00;20/07/20 10.32;;;;;;;
1271;syarif;27;95;0;67.05.00;20/07/20 10.32;;;;;;;
1272;syarif;27;95;0;67.05.00;20/07/20 10.32;;;;;;;
1273;syarif;27;95;0;67.05.00;20/07/20 10.32;;;;;;;
1274;syarif;27;95;0;67.05.00;20/07/20 10.32;;;;;;;
1275;syarif;27;95;0;67.05.00;20/07/20 10.33;;;;;;;
1276;syarif;27;95;0;67.05.00;20/07/20 10.33;;;;;;;
1277;syarif;27;95;0;67.05.00;20/07/20 10.33;;;;;;;
1278;syarif;27;95;0;67.05.00;20/07/20 10.33;;;;;;;
1279;syarif;27;95;0;67.05.00;20/07/20 10.33;;;;;;;
1280;syarif;27;95;0;67.05.00;20/07/20 10.33;;;;;;;
1281;syarif;27;95;0;67.05.00;20/07/20 10.33;;;;;;;
1282;syarif;27;95;0;67.05.00;20/07/20 10.34;;;;;;;
1283;syarif;27;95;0;67.05.00;20/07/20 10.34;;;;;;;
1284;syarif;27;95;0;67.05.00;20/07/20 10.34;;;;;;;
1285;syarif;27;95;0;67.05.00;20/07/20 10.34;;;;;;;
1286;syarif;27;95;0;67.05.00;20/07/20 10.34;;;;;;;
1287;syarif;27;95;0;67.05.00;20/07/20 10.34;;;;;;;
1288;syarif;27;95;0;67.05.00;20/07/20 10.34;;;;;;;
1289;syarif;27;95;0;67.05.00;20/07/20 10.35;;;;;;;
1290;syarif;27;95;0;67.05.00;20/07/20 10.35;;;;;;;
1291;syarif;27;95;0;67.05.00;20/07/20 10.35;;;;;;;
1292;syarif;27;95;0;67.05.00;20/07/20 10.35;;;;;;;
1293;syarif;27;95;0;67.05.00;20/07/20 10.35;;;;;;;
1294;syarif;27;95;0;67.05.00;20/07/20 10.35;;;;;;;
1295;syarif;27;95;0;67.05.00;20/07/20 10.35;;;;;;;
1296;syarif;27;95;0;67.05.00;20/07/20 10.35;;;;;;;
1297;syarif;27;95;0;67.05.00;20/07/20 10.36;;;;;;;
1298;syarif;27;95;0;0;20/07/20 10.36;;;;;;;
1299;syarif;27;95;0;67.05.00;20/07/20 10.36;;;;;;;
1300;syarif;27;95;0;67.05.00;20/07/20 10.36;;;;;;;
1301;syarif;27;95;0;67.05.00;20/07/20 10.36;;;;;;;
1302;syarif;27;95;0;67.05.00;20/07/20 10.36;;;;;;;
1303;syarif;27;95;0;67.05.00;20/07/20 10.36;;;;;;;
1304;syarif;27;95;0;67.05.00;20/07/20 10.37;;;;;;;
1305;syarif;27;95;0;67.05.00;20/07/20 10.37;;;;;;;
1306;syarif;27;95;0;67.05.00;20/07/20 10.37;;;;;;;
1307;syarif;27;95;0;67.05.00;20/07/20 10.37;;;;;;;
1308;syarif;27;95;0;67.05.00;20/07/20 10.37;;;;;;;
1309;syarif;27;95;0;67.05.00;20/07/20 10.37;;;;;;;
1310;syarif;27;95;0;67.05.00;20/07/20 10.37;;;;;;;
1311;syarif;27;95;0;67.05.00;20/07/20 10.38;;;;;;;
1312;syarif;27;95;0;67.05.00;20/07/20 10.38;;;;;;;
1313;syarif;27;95;0;67.05.00;20/07/20 10.38;;;;;;;
1314;syarif;27;95;0;67.05.00;20/07/20 10.38;;;;;;;
1315;syarif;27;95;0;67.05.00;20/07/20 10.38;;;;;;;
1316;syarif;27;95;0;67.05.00;20/07/20 10.38;;;;;;;
1317;syarif;27;95;0;67.05.00;20/07/20 10.38;;;;;;;
1318;syarif;27;95;0;67.05.00;20/07/20 10.39;;;;;;;
1319;syarif;27;95;0;67.05.00;20/07/20 10.39;;;;;;;
1320;syarif;27;95;0;67.05.00;20/07/20 10.39;;;;;;;
1321;syarif;27;95;0;67.05.00;20/07/20 10.39;;;;;;;
1322;syarif;27;95;0;67.05.00;20/07/20 10.39;;;;;;;
1323;syarif;27;95;0;67.05.00;20/07/20 10.39;;;;;;;
1324;syarif;27;95;0;67.05.00;20/07/20 10.39;;;;;;;
1325;syarif;27;95;0;67.05.00;20/07/20 10.40;;;;;;;
1326;syarif;27;95;0;67.05.00;20/07/20 10.40;;;;;;;
1327;syarif;27;95;0;67.05.00;20/07/20 10.40;;;;;;;
1328;syarif;27;95;0;67.05.00;20/07/20 10.40;;;;;;;
1329;syarif;27;95;0;67.05.00;20/07/20 10.40;;;;;;;
1330;syarif;27;95;0;67.05.00;20/07/20 10.40;;;;;;;
1331;syarif;27;95;0;67.05.00;20/07/20 10.40;;;;;;;
1332;syarif;27;95;0;67.05.00;20/07/20 10.41;;;;;;;
1333;syarif;27;95;0;67.05.00;20/07/20 10.41;;;;;;;
1334;syarif;27;95;0;67.05.00;20/07/20 10.41;;;;;;;
1335;syarif;27;95;0;67.05.00;20/07/20 10.41;;;;;;;
1336;syarif;27;95;0;67.05.00;20/07/20 10.41;;;;;;;
1337;syarif;27;95;0;67.05.00;20/07/20 10.41;;;;;;;
1338;syarif;27;95;0;67.05.00;20/07/20 10.41;;;;;;;
1339;syarif;27;95;0;67.05.00;20/07/20 10.42;;;;;;;
1340;syarif;27;95;0;67.05.00;20/07/20 10.42;;;;;;;
