id;name;suhu;kelembaban;cahaya;keran;date
1391;syarif;29;95;6,51;75;21/07/20 10.07
1392;syarif;28;95;0,223611111;67.05.00;21/07/20 10.08
1393;syarif;28;95;0,211111111;67.05.00;21/07/20 10.08
1394;syarif;28;95;05.35;67.05.00;21/07/20 10.08
1395;syarif;28;95;0,227777778;67.05.00;21/07/20 10.08
1396;syarif;28;95;0,219444444;67.05.00;21/07/20 10.08
1397;syarif;28;95;0,223611111;67.05.00;21/07/20 10.08
1398;syarif;28;95;04.07;67.05.00;21/07/20 10.08
1399;syarif;28;95;04.18;67.05.00;21/07/20 10.09
1400;syarif;28;95;04.18;67.05.00;21/07/20 10.09
1401;syarif;28;95;04.24;67.05.00;21/07/20 10.09
1402;syarif;28;95;04.01;67.05.00;21/07/20 10.09
1403;syarif;28;95;0,190972222;67.05.00;21/07/20 10.09
1404;syarif;28;95;04.24;67.05.00;21/07/20 10.09
1405;syarif;28;95;04.53;67.05.00;21/07/20 10.09
1406;syarif;28;95;0,211111111;67.05.00;21/07/20 10.10
1407;syarif;28;95;04.47;67.05.00;21/07/20 10.10
1408;syarif;28;95;04.35;67.05.00;21/07/20 10.10
1409;syarif;28;95;04.35;67.05.00;21/07/20 10.10
1410;syarif;28;95;04.29;67.05.00;21/07/20 10.10
1411;syarif;28;95;04.18;67.05.00;21/07/20 10.10
1412;syarif;28;95;04.29;67.05.00;21/07/20 10.10
1413;syarif;28;95;04.24;67.05.00;21/07/20 10.11
1414;syarif;28;95;04.29;67.05.00;21/07/20 10.11
1415;syarif;28;95;04.01;67.05.00;21/07/20 10.11
1416;syarif;28;95;04.18;67.05.00;21/07/20 10.11
1417;syarif;28;95;04.29;67.05.00;21/07/20 10.11
1418;syarif;28;95;04.18;67.05.00;21/07/20 10.11
1419;syarif;28;95;04.12;67.05.00;21/07/20 10.11
1420;syarif;28;95;0,190972222;67.05.00;21/07/20 10.11
1421;syarif;28;95;0,171527778;67.05.00;21/07/20 10.12
1422;syarif;28;95;0,190972222;67.05.00;21/07/20 10.12
1423;syarif;28;95;04.12;67.05.00;21/07/20 10.12
1424;syarif;28;95;0,190972222;67.05.00;21/07/20 10.12
1425;syarif;28;95;06.08;67.05.00;21/07/20 10.12
1426;syarif;28;95;06.02;67.05.00;21/07/20 10.12
1427;syarif;28;95;0,231944444;67.05.00;21/07/20 10.12
1428;syarif;28;95;06.02;67.05.00;21/07/20 10.13
1429;syarif;28;95;06.02;67.05.00;21/07/20 10.13
